distrito_id,distrito,provincia_id,provincia,departamento_id,departamento,macroregion,tipo_area,quintil_pobreza
D00275,PUN Dist 2-4,P0063,PUN Prov 4,DEP20,Puno,Sierra sur,mixto,1
D00276,PUN Dist 3-4,P0063,PUN Prov 4,DEP20,Puno,Sierra sur,rural,2
D00277,PUN Dist 4-4,P0063,PUN Prov 4,DEP20,Puno,Sierra sur,urbano,1
D00278,PUN Dist 5-4,P0063,PUN Prov 4,DEP20,Puno,Sierra sur,rural,3
D00279,SAN Dist 1-1,P0064,SAN Prov 1,DEP21,San Martin,Amazonia,rural,2
D00280,SAN Dist 2-1,P0064,SAN Prov 1,DEP21,San Martin,Amazonia,urbano,1
D00281,SAN Dist 3-1,P0064,SAN Prov 1,DEP21,San Martin,Amazonia,rural,2
D00282,SAN Dist 1-2,P0065,SAN Prov 2,DEP21,San Martin,Amazonia,urbano,2
D00283,SAN Dist 2-2,P0065,SAN Prov 2,DEP21,San Martin,Amazonia,mixto,1
D00284,SAN Dist 3-2,P0065,SAN Prov 2,DEP21,San Martin,Amazonia,mixto,1
D00285,SAN Dist 4-2,P0065,SAN Prov 2,DEP21,San Martin,Amazonia,urbano,2
D00286,SAN Dist 5-2,P0065,SAN Prov 2,DEP21,San Martin,Amazonia,rural,2
D00287,SAN Dist 6-2,P0065,SAN Prov 2,DEP21,San Martin,Amazonia,urbano,1
D00288,TAC Dist 1-1,P0066,TAC Prov 1,DEP22,Tacna,Costa sur,rural,3
D00289,TAC Dist 2-1,P0066,TAC Prov 1,DEP22,Tacna,Costa sur,mixto,3
D00290,TAC Dist 3-1,P0066,TAC Prov 1,DEP22,Tacna,Costa sur,rural,1
D00291,TAC Dist 4-1,P0066,TAC Prov 1,DEP22,Tacna,Costa sur,rural,5
D00292,TAC Dist 5-1,P0066,TAC Prov 1,DEP22,Tacna,Costa sur,urbano,1
D00293,TAC Dist 6-1,P0066,TAC Prov 1,DEP22,Tacna,Costa sur,rural,2
D00294,TAC Dist 1-2,P0067,TAC Prov 2,DEP22,Tacna,Costa sur,mixto,2
D00295,TAC Dist 2-2,P0067,TAC Prov 2,DEP22,Tacna,Costa sur,rural,2
D00296,TAC Dist 3-2,P0067,TAC Prov 2,DEP22,Tacna,Costa sur,mixto,1
D00297,TAC Dist 1-3,P0068,TAC Prov 3,DEP22,Tacna,Costa sur,urbano,1
D00298,TAC Dist 2-3,P0068,TAC Prov 3,DEP22,Tacna,Costa sur,mixto,2
D00299,TAC Dist 3-3,P0068,TAC Prov 3,DEP22,Tacna,Costa sur,rural,2
D00300,TAC Dist 4-3,P0068,TAC Prov 3,DEP22,Tacna,Costa sur,urbano,3
D00301,TAC Dist 5-3,P0068,TAC Prov 3,DEP22,Tacna,Costa sur,rural,2
D00302,TAC Dist 1-4,P0069,TAC Prov 4,DEP22,Tacna,Costa sur,urbano,1
D00303,TAC Dist 2-4,P0069,TAC Prov 4,DEP22,Tacna,Costa sur,urbano,4
D00304,TAC Dist 3-4,P0069,TAC Prov 4,DEP22,Tacna,Costa sur,mixto,1
D00305,TAC Dist 4-4,P0069,TAC Prov 4,DEP22,Tacna,Costa sur,rural,3
D00306,TUM Dist 1-1,P0070,TUM Prov 1,DEP23,Tumbes,Costa norte,urbano,3
D00307,TUM Dist 2-1,P0070,TUM Prov 1,DEP23,Tumbes,Costa norte,urbano,1
D00308,TUM Dist 3-1,P0070,TUM Prov 1,DEP23,Tumbes,Costa norte,rural,2
D00309,TUM Dist 4-1,P0070,TUM Prov 1,DEP23,Tumbes,Costa norte,mixto,1
D00310,TUM Dist 1-2,P0071,TUM Prov 2,DEP23,Tumbes,Costa norte,rural,4
D00311,TUM Dist 2-2,P0071,TUM Prov 2,DEP23,Tumbes,Costa norte,urbano,1
D00312,TUM Dist 3-2,P0071,TUM Prov 2,DEP23,Tumbes,Costa norte,urbano,1
D00313,TUM Dist 4-2,P0071,TUM Prov 2,DEP23,Tumbes,Costa norte,urbano,3
D00314,TUM Dist 1-3,P0072,TUM Prov 3,DEP23,Tumbes,Costa norte,mixto,1
D00315,TUM Dist 2-3,P0072,TUM Prov 3,DEP23,Tumbes,Costa norte,urbano,1
D00316,TUM Dist 3-3,P0072,TUM Prov 3,DEP23,Tumbes,Costa norte,mixto,2
D00317,TUM Dist 4-3,P0072,TUM Prov 3,DEP23,Tumbes,Costa norte,mixto,1
D00318,TUM Dist 1-4,P0073,TUM Prov 4,DEP23,Tumbes,Costa norte,rural,2
D00319,TUM Dist 2-4,P0073,TUM Prov 4,DEP23,Tumbes,Costa norte,rural,4
D00320,TUM Dist 3-4,P0073,TUM Prov 4,DEP23,Tumbes,Costa norte,rural,2
D00321,TUM Dist 4-4,P0073,TUM Prov 4,DEP23,Tumbes,Costa norte,urbano,4
D00322,TUM Dist 5-4,P0073,TUM Prov 4,DEP23,Tumbes,Costa norte,urbano,2
D00323,UCA Dist 1-1,P0074,UCA Prov 1,DEP24,Ucayali,Amazonia,rural,2
D00324,UCA Dist 2-1,P0074,UCA Prov 1,DEP24,Ucayali,Amazonia,rural,3
D00325,UCA Dist 3-1,P0074,UCA Prov 1,DEP24,Ucayali,Amazonia,mixto,2
D00326,UCA Dist 1-2,P0075,UCA Prov 2,DEP24,Ucayali,Amazonia,urbano,3
D00327,UCA Dist 2-2,P0075,UCA Prov 2,DEP24,Ucayali,Amazonia,urbano,3
D00328,UCA Dist 3-2,P0075,UCA Prov 2,DEP24,Ucayali,Amazonia,mixto,1
D00329,UCA Dist 4-2,P0075,UCA Prov 2,DEP24,Ucayali,Amazonia,rural,4
D00330,UCA Dist 5-2,P0075,UCA Prov 2,DEP24,Ucayali,Amazonia,rural,3
D00331,UCA Dist 1-3,P0076,UCA Prov 3,DEP24,Ucayali,Amazonia,rural,5
D00332,UCA Dist 2-3,P0076,UCA Prov 3,DEP24,Ucayali,Amazonia,urbano,1
D00333,UCA Dist 3-3,P0076,UCA Prov 3,DEP24,Ucayali,Amazonia,rural,1
D00334,UCA Dist 4-3,P0076,UCA Prov 3,DEP24,Ucayali,Amazonia,urbano,2
